cpuLimit,type,Run1,Run2
90,H,4259,3791
80,H,4045,4390
70,H,5200,4655
60,H,5316,5509
50,H,6798,6282
,,,
90,NC,8413,8374
80,NC,8706,8655
70,NC,9426,8771
60,NC,10397,10286
50,NC,11344,11950
